id,image_path,label_path,gt_vendor,gt_date,gt_total,gt_date_raw,gt_total_raw,gt_total_numeric
X00016469612,data/sroie/raw/SROIE2019/train/img/X00016469612.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469612.txt,BOOK TA .K (TAMAN DAYA) SDN BHD,2018-12-25,9.00,25/12/2018,9.00,9.0
X00016469619,data/sroie/raw/SROIE2019/train/img/X00016469619.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469619.txt,INDAH GIFT & HOME DECO,2018-10-19,60.30,19/10/2018,60.30,60.3
X00016469620,data/sroie/raw/SROIE2019/train/img/X00016469620.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469620.txt,MR D.I.Y. (JOHOR) SDN BHD,2019-01-12,33.90,12-01-19,33.90,33.9
X00016469622,data/sroie/raw/SROIE2019/train/img/X00016469622.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469622.txt,YONGFATT ENTERPRISE,2018-12-25,80.90,25/12/2018,80.90,80.9
X00016469623,data/sroie/raw/SROIE2019/train/img/X00016469623.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469623.txt,MR D.I.Y. (M) SDN BHD,2018-11-18,30.90,18-11-18,30.90,30.9
X00016469669,data/sroie/raw/SROIE2019/train/img/X00016469669.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469669.txt,ABC HO TRADING,2019-01-09,31.00,09/01/2019,31.00,31.0
X00016469672,data/sroie/raw/SROIE2019/train/img/X00016469672.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469672.txt,SOON HUAT MACHINERY ENTERPRISE,2019-01-11,327.00,11/01/2019,327.00,327.0
X00016469676,data/sroie/raw/SROIE2019/train/img/X00016469676.jpg,data/sroie/raw/SROIE2019/train/entities/X00016469676.txt,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,2019-01-23,20.00,23-01-2019,20.00,20.0
X51005200938,data/sroie/raw/SROIE2019/train/img/X51005200938.jpg,data/sroie/raw/SROIE2019/train/entities/X51005200938.txt,PERNIAGAAN ZHENG HUI,2018-02-12,112.45,12/02/2018,112.45,112.45
X51005230617,data/sroie/raw/SROIE2019/train/img/X51005230617.jpg,data/sroie/raw/SROIE2019/train/entities/X51005230617.txt,GERBANG ALAF RESTAURANTS SDN BHD,2018-01-18,26.60,18/01/2018,26.60,26.6
X51005255805,data/sroie/raw/SROIE2019/train/img/X51005255805.jpg,data/sroie/raw/SROIE2019/train/entities/X51005255805.txt,SAM SAM TRADING CO,2017-12-29,14.10,29-12-2017,14.10,14.1
X51005268200,data/sroie/raw/SROIE2019/train/img/X51005268200.jpg,data/sroie/raw/SROIE2019/train/entities/X51005268200.txt,AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD,2017-06-15,15.00,15/06/2017,15.00,15.0
X51005268262,data/sroie/raw/SROIE2019/train/img/X51005268262.jpg,data/sroie/raw/SROIE2019/train/entities/X51005268262.txt,HOME MASTER HARDWARE & ELECTRICAL,2017-12-22,15.90,22/12/2017,15.90,15.9
X51005268400,data/sroie/raw/SROIE2019/train/img/X51005268400.jpg,data/sroie/raw/SROIE2019/train/entities/X51005268400.txt,RESTORAN HASSANBISTRO,,15.00,12/28/2017,15.00,15.0
X51005268472,data/sroie/raw/SROIE2019/train/img/X51005268472.jpg,data/sroie/raw/SROIE2019/train/entities/X51005268472.txt,ASIA MART,2017-12-22,32.70,22/12/2017,32.70,32.7
X51005301659,data/sroie/raw/SROIE2019/train/img/X51005301659.jpg,data/sroie/raw/SROIE2019/train/entities/X51005301659.txt,HOME MASTER HARDWARE & ELECTRICAL,2017-12-22,15.90,22/12/2017,15.90,15.9
X51005301661,data/sroie/raw/SROIE2019/train/img/X51005301661.jpg,data/sroie/raw/SROIE2019/train/entities/X51005301661.txt,LIGHTROOM GALLERY SDN BHD,2017-12-20,73.00,20/12/2017,73.00,73.0
X51005301667,data/sroie/raw/SROIE2019/train/img/X51005301667.jpg,data/sroie/raw/SROIE2019/train/entities/X51005301667.txt,LIGHTROOM GALLERY SDN BHD,2017-11-20,39.80,20/11/2017,39.80,39.8
X51005303661,data/sroie/raw/SROIE2019/train/img/X51005303661.jpg,data/sroie/raw/SROIE2019/train/entities/X51005303661.txt,LIGHTROOM GALLERY SDN BHD,2017-12-20,73.00,20/12/2017,73.00,73.0
X51005306399,data/sroie/raw/SROIE2019/train/img/X51005306399.jpg,data/sroie/raw/SROIE2019/train/entities/X51005306399.txt,SHELL ISNI PETRO TRADING,2018-03-18,86.00,18/03/18,86.00,86.0
X51005337872,data/sroie/raw/SROIE2019/train/img/X51005337872.jpg,data/sroie/raw/SROIE2019/train/entities/X51005337872.txt,SYL ROASTED DELIGHTS SDN. BHD.,2018-03-06,54.50,06/03/2018,54.50,54.5
X51005361883,data/sroie/raw/SROIE2019/train/img/X51005361883.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361883.txt,TEO HENG STATIONERY & BOOKS,2018-01-18,4.90,18/01/2018,4.90,4.9
X51005361895,data/sroie/raw/SROIE2019/train/img/X51005361895.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361895.txt,FUYI MINI MARKET,2018-01-25,9.00,25/01/2018,9.00,9.0
X51005361897,data/sroie/raw/SROIE2019/train/img/X51005361897.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361897.txt,TEO HENG STATIONERY & BOOKS,2018-01-17,27.55,17/01/2018,27.55,27.55
X51005361898,data/sroie/raw/SROIE2019/train/img/X51005361898.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361898.txt,TEO HENG STATIONERY & BOOKS,2018-01-15,55.10,15/01/2018,55.10,55.1
X51005361900,data/sroie/raw/SROIE2019/train/img/X51005361900.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361900.txt,TEO HENG STATIONERY & BOOKS,2018-01-23,18.00,23/01/2018,18.00,18.0
X51005361907,data/sroie/raw/SROIE2019/train/img/X51005361907.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361907.txt,TED HENG STATIONERY & BOOKS,2018-02-12,153.35,12/02/2018,153.35,153.35
X51005361946,data/sroie/raw/SROIE2019/train/img/X51005361946.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361946.txt,MR. D.I.Y. (M) SDN BHD,2018-03-14,37.10,14-03-18,37.10,37.1
X51005361950,data/sroie/raw/SROIE2019/train/img/X51005361950.jpg,data/sroie/raw/SROIE2019/train/entities/X51005361950.txt,99 SPEED MART S/B,2018-01-24,2.50,24-01-18,2.50,2.5
X51005365179,data/sroie/raw/SROIE2019/train/img/X51005365179.jpg,data/sroie/raw/SROIE2019/train/entities/X51005365179.txt,C W KHOO HARDWARE SDN BHD,2018-03-01,21.20,01-03-18,21.20,21.2
